name,vertices,edges,components,levels,nvgraph
web-Stanford,281903,2312497,29914,141,11
web-BerkStan,685230,7600595,109406,114,16
web-Google,875713,5105039,412479,34,21
web-NotreDame,325729,1497134,203609,18,9
indochina-2004,7414768,194109311,1749052,524,198
soc-Slashdot0811,77360,905468,6724,4,6
soc-Slashdot0902,82168,948464,10559,3,6
soc-Epinions1,75879,508837,42185,10,6
soc-LiveJournal1,4847571,68993773,971232,24,169
coAuthorsDBLP,299067,977676,45242,7,3
coAuthorsCiteseer,227320,814134,30322,7,3
coPapersCiteseer,434102,16036720,6372,7,11
coPapersDBLP,540486,15245729,10244,6,12
italy_osm,6686493,7013978,1470097,2692,59,
great-britain_osm,7733822,8156517,2444901,725,68
germany_osm,11548845,12369181,2466406,534,102
asia_osm,11950757,12711603,3511783,10943,135
